BOTTLE,20240829CCHHYDRO
33RR20220613  ,P02E       ,123     ,  1,5          ,5          ,2,20220618,1305,  29.9999,-158.3276,     5742,   4271.2,2,   1.4915,2,  34.6843,2,  34.6830,2,    148.1,2,    148.1,2,   155.03,2,    36.67,2,     0.00,2,     2.83,4,    0.005,2,    0.004,2,   0.0000,2,   2330.6,2,   2421.3,2,   7.5717,2,    25.00,2,     -999,9,   1.4917,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0121,1,   4.7039,1,     24.5,2,20220618,1346,  29.9999,-158.3277,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,123     ,  1,4          ,4          ,2,20220618,1305,  29.9999,-158.3276,     5742,   4681.9,2,   1.5089,2,  34.6870,2,  34.6871,2,    153.0,2,    153.3,2,   153.07,2,    36.21,2,     0.00,2,     2.81,4,    0.006,2,    0.005,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.5090,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7034,1,     23.9,2,20220618,1338,  29.9999,-158.3277,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,123     ,  1,3          ,3          ,2,20220618,1305,  29.9999,-158.3276,     5742,   5093.9,2,   1.5392,2,  34.6891,2,  34.6881,2,    157.0,2,    156.9,2,   148.38,2,    36.05,2,     0.00,2,     2.74,4,    0.007,2,    0.006,2,   0.0000,2,   2323.9,2,   2417.9,2,   7.5855,2,    25.00,2,     -999,9,   1.5393,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0127,1,   4.7043,1,     24.0,2,20220618,1330,  30.0000,-158.3277,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,123     ,  1,2          ,2          ,2,20220618,1305,  29.9999,-158.3276,     5742,   5507.3,2,   1.5835,2,  34.6899,2,  34.6901,2,    159.0,2,    159.6,2,   147.60,2,    35.73,2,     0.00,2,     2.69,4,    0.007,2,    0.006,2,   0.0000,2,   2321.6,2,   2414.7,2,   7.5868,2,    25.00,2,     -999,9,   1.5837,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7032,1,     24.5,2,20220618,1317,  30.0000,-158.3277,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,123     ,  1,1          ,1          ,2,20220618,1305,  29.9999,-158.3276,     5742,   5849.1,2,   1.6274,2,  34.6902,3,  34.6954,2,    159.6,2,    159.2,2,   147.21,2,    36.17,2,     0.00,2,     2.77,4,    0.007,2,    0.005,2,   0.0000,2,   2322.4,6,   2414.0,2,   7.5878,2,    24.99,2,     -999,9,   1.6276,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0131,1,   4.7021,1,     24.5,2,20220618,1305,  30.0000,-158.3277,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,36         ,36         ,2,20220618,2049,  29.9995,-157.7496,     5948,      2.2,2,  25.5627,2,  35.2943,2,  35.2932,2,    210.2,2,    209.6,2,     0.20,2,     0.03,2,     0.00,2,     0.01,3,    1.577,2,    0.986,2,   1.6658,2,   2022.3,2,   2316.3,2,   8.0341,2,    25.01,2,     -999,9,  25.5666,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      4.4,2,   0.0122,1,   4.6445,1,      6.8,2,20220618,2336,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,35         ,35         ,2,20220618,2049,  29.9995,-157.7496,     5948,     26.5,2,  25.1323,2,  35.2954,2,  35.2930,2,    209.5,2,    210.2,2,     0.20,2,     0.02,2,     0.00,2,     0.01,3,    1.623,2,    1.020,2,   1.7431,2,   2020.7,6,   2316.3,2,   8.0348,2,    25.00,2,     -999,9,  25.1526,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      4.2,2,   0.0131,1,   4.6353,1,      6.9,2,20220618,2333,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,34         ,34         ,2,20220618,2049,  29.9995,-157.7496,     5948,     51.1,2,  23.4451,2,  35.2748,2,  35.2785,2,    221.7,2,    221.6,2,     0.00,2,     0.01,2,     0.00,2,     0.02,3,    1.802,2,    1.080,2,   1.7934,2,   2024.7,2,   2317.6,6,   8.0309,2,    25.01,2,     -999,9,  23.4480,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      4.7,2,   0.0143,1,   4.6269,1,      7.4,2,20220618,2331,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,33         ,33         ,2,20220618,2049,  29.9995,-157.7496,     5948,     77.0,2,  21.7544,2,  35.2326,2,  35.2322,2,    224.4,2,    224.2,2,     0.20,2,     0.01,2,     0.00,2,     0.00,3,    1.834,2,    1.145,2,   1.8607,2,   2027.9,2,   2312.8,2,   8.0125,2,    25.00,2,     -999,9,  21.7549,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      4.2,2,   0.0159,1,   4.6383,1,      7.7,2,20220618,2329,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,32         ,32         ,2,20220618,2049,  29.9995,-157.7496,     5948,    101.9,2,  20.9975,2,  35.1813,2,  35.1851,2,    222.2,2,    222.8,2,     0.39,2,     0.00,2,     0.00,2,     0.02,3,    1.882,2,    1.163,2,   1.8491,2,   2034.5,2,   2309.1,2,   8.0010,2,    25.00,2,     -999,9,  21.0258,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      3.3,2,   0.0183,1,   4.6465,1,      8.0,2,20220618,2327,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,31         ,31         ,2,20220618,2049,  29.9995,-157.7496,     5948,    151.8,2,  19.0612,2,  34.9420,2,  34.9382,2,    220.0,2,    219.9,2,     1.17,2,     0.18,2,     0.15,2,     0.06,3,    2.057,6,    1.257,6,   1.8971,6,   2044.3,2,   2295.4,2,   7.9588,2,    25.00,2,     -999,9,  19.0588,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      3.7,2,   0.0236,1,   4.6616,1,      8.8,6,20220618,2324,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,30         ,40         ,2,20220618,2049,  29.9995,-157.7496,     5948,    201.7,2,  16.9715,2,  34.6682,2,  34.6557,2,    202.3,2,    203.5,2,     2.84,2,     3.12,2,     0.01,2,     0.24,3,    2.294,2,    1.386,2,   1.9759,2,   2065.7,2,   2275.7,2,   7.8883,2,    24.99,2,     -999,9,  16.9677,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      6.4,2,   0.0171,1,   4.6767,1,     11.5,2,20220618,2322,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,29         ,29         ,2,20220618,2049,  29.9995,-157.7496,     5948,    252.0,2,  14.0604,2,  34.3773,2,  34.3705,2,    213.9,2,    214.6,2,     5.77,2,     6.66,2,     0.00,2,     0.42,3,    2.598,2,    1.548,2,   2.0764,2,   2071.1,2,   2258.7,2,   7.8411,2,    24.99,2,     -999,9,  14.0793,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,      9.1,2,   0.0133,1,   4.6848,1,     13.5,2,20220618,2320,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,28         ,28         ,2,20220618,2049,  29.9995,-157.7496,     5948,    302.7,2,  12.8704,2,  34.2957,2,  34.2976,2,    211.3,2,    211.4,2,     8.22,2,     9.37,2,     0.00,2,     0.58,3,    2.727,2,    1.631,2,   2.0238,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  12.8703,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     11.7,2,   0.0122,1,   4.6877,1,     15.2,2,20220618,2317,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,27         ,27         ,2,20220618,2049,  29.9995,-157.7496,     5948,    352.1,2,  11.7023,2,  34.2223,2,  34.2168,2,    212.6,2,    212.5,2,    11.74,2,    11.92,2,     0.00,2,     0.74,3,    2.901,2,    1.708,2,   2.0382,2,   2099.8,2,   2257.1,2,   7.7780,2,    25.00,2,     -999,9,  11.7017,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6902,1,     17.0,2,20220618,2315,  29.9994,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,26         ,26         ,2,20220618,2049,  29.9995,-157.7496,     5948,    402.9,2,  10.7079,2,  34.1608,2,  34.1573,2,    208.5,2,    208.4,2,    15.65,2,    14.39,2,     0.00,2,     0.88,3,    3.031,2,    1.758,2,   1.8454,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  10.6947,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6925,1,     18.6,2,20220618,2313,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,25         ,25         ,2,20220618,2049,  29.9995,-157.7496,     5948,    503.4,2,   8.7219,2,  34.0437,2,  34.0452,2,    182.7,2,    183.0,2,    28.37,2,    20.87,2,     0.00,2,     1.29,3,    3.016,2,    1.747,2,   1.4838,2,   2154.6,2,   2262.6,2,   7.6521,2,    25.01,2,     -999,9,   8.7214,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6956,1,     24.0,2,20220618,2310,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,24         ,24         ,2,20220618,2049,  29.9995,-157.7496,     5948,    604.6,2,   6.4348,2,  34.0014,2,  34.0004,2,    116.3,3,    114.9,2,    55.07,2,    31.57,2,     0.00,2,     2.04,3,    2.346,2,    1.303,2,   0.7234,2,   2231.0,2,   2281.6,2,   7.4798,2,    24.99,2,     -999,9,   6.4345,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6960,1,     34.0,2,20220618,2306,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,23         ,23         ,2,20220618,2049,  29.9995,-157.7496,     5948,    706.0,2,   5.0901,2,  34.0359,2,  34.0349,2,     73.5,2,     74.1,2,    77.57,2,    37.56,2,     0.00,2,     2.50,3,    1.554,2,    0.850,2,   0.5817,2,   2280.8,2,   2300.1,2,   7.3845,2,    25.00,2,     -999,9,   5.0895,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6970,1,     41.9,2,20220618,2302,  29.9994,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,22         ,22         ,2,20220618,2049,  29.9995,-157.7496,     5948,    807.1,2,   4.3970,2,  34.1398,2,  34.1383,2,     35.0,3,     35.5,2,    97.42,2,    41.88,2,     0.00,2,     2.84,3,    0.673,2,    0.355,2,   0.1857,2,   2322.0,2,   2322.0,2,   7.3184,2,    24.99,2,     -999,9,   4.3963,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6965,1,     52.2,2,20220618,2300,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,21         ,21         ,2,20220618,2049,  29.9995,-157.7496,     5948,    908.7,2,   3.9804,2,  34.2450,2,  34.2458,2,     17.2,3,     17.1,2,   111.69,2,    43.70,2,     0.00,2,     3.03,3,    0.189,2,    0.107,2,   0.1274,2,   2349.3,2,   2341.2,2,   7.2978,2,    24.98,2,     -999,9,   3.9845,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6972,1,     59.0,2,20220618,2257,  29.9994,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,20         ,20         ,2,20220618,2049,  29.9995,-157.7496,     5948,   1009.1,2,   3.7138,2,  34.3407,2,  34.3380,2,     13.2,3,     12.8,2,   122.24,2,    44.28,2,     0.00,2,     3.14,3,    0.036,2,    0.024,2,   0.0000,2,   2361.9,2,   2356.1,2,   7.3021,2,    24.99,2,     -999,9,   3.7132,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6971,1,     62.1,2,20220618,2253,  29.9994,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,19         ,39         ,2,20220618,2049,  29.9995,-157.7496,     5948,   1110.9,2,   3.5177,2,  34.4099,2,  34.4088,2,     22.4,3,     22.1,2,   126.54,2,    43.81,2,     0.00,2,     3.14,3,    0.024,2,    0.016,2,   0.0000,2,   2362.1,2,   2368.6,2,   7.3296,2,    25.02,2,     -999,9,   3.5207,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6976,1,     57.6,2,20220618,2250,  29.9994,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,18         ,18         ,2,20220618,2049,  29.9995,-157.7496,     5948,   1211.7,2,   3.2747,2,  34.4645,2,  34.4644,2,     31.7,3,     32.0,2,   132.21,2,    43.46,2,     0.00,2,     3.16,3,    0.012,2,    0.010,2,   0.0000,2,   2365.3,2,   2379.9,2,   7.3526,2,    25.00,2,     -999,9,   3.2746,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6983,1,     51.9,2,20220618,2246,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,17         ,37         ,2,20220618,2049,  29.9995,-157.7496,     5948,   1313.2,2,   3.1101,2,  34.4965,2,  34.4964,2,     40.3,2,     40.6,2,   134.75,2,    43.00,2,     0.00,2,     3.13,4,    0.008,2,    0.006,2,   0.0000,2,   2366.6,2,   2383.5,6,   7.3714,2,    25.00,2,     -999,9,   3.1096,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6987,1,     48.2,2,20220618,2244,  29.9994,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,16         ,16         ,2,20220618,2049,  29.9995,-157.7496,     5948,   1414.3,2,   2.9155,2,  34.5236,2,  34.5239,2,     48.2,2,     47.9,2,   138.95,2,    42.58,2,     0.00,2,     3.12,4,    0.006,2,    0.004,2,   0.0000,2,   2362.9,2,   2391.3,2,   7.3890,2,    25.00,2,     -999,9,   2.9114,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6995,1,     44.4,2,20220618,2241,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,15         ,15         ,2,20220618,2049,  29.9995,-157.7496,     5948,   1618.0,2,   2.5477,2,  34.5611,2,  34.5592,2,     60.5,2,     60.5,2,   147.06,2,    42.02,2,     0.00,2,     3.12,4,    0.004,2,    0.004,2,   0.0000,2,   2365.9,2,   2403.4,2,   7.4129,2,    25.01,2,     -999,9,   2.5483,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6997,1,     40.3,2,20220618,2236,  29.9994,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,14         ,14         ,2,20220618,2049,  29.9995,-157.7496,     5948,   1819.2,2,   2.2526,2,  34.5907,2,  34.5901,2,     73.6,2,     73.8,2,   152.83,2,    41.23,2,     0.00,2,     3.10,4,    0.007,2,    0.005,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   2.2546,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0128,1,   4.7007,1,     36.1,2,20220618,2231,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,13         ,13         ,2,20220618,2049,  29.9995,-157.7496,     5948,   2023.1,2,   2.0536,2,  34.6099,2,  34.6091,2,     83.2,2,     82.9,2,   156.83,2,    40.64,2,     0.00,2,     3.08,4,    0.005,2,    0.003,2,   0.0000,2,   2362.7,2,   2412.6,2,   7.4550,2,    25.00,2,     -999,9,   2.0549,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.7010,1,     33.6,2,20220618,2225,  29.9994,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,12         ,12         ,2,20220618,2049,  29.9995,-157.7496,     5948,   2276.6,2,   1.8454,2,  34.6295,2,  34.6286,2,     92.7,2,     92.4,2,   162.01,2,    40.25,2,     0.00,2,     3.08,4,    0.003,2,    0.001,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.8463,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0126,1,   4.7010,1,     31.1,2,20220618,2220,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,11         ,11         ,4,20220618,2049,  29.9995,-157.7496,     5948,   2532.3,3,   1.7376,3,  34.6421,3,     -999,9,    101.3,3,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.7367,3,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0131,1,   4.7022,1,     -999,9,20220618,2214,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,10         ,10         ,2,20220618,2049,  29.9995,-157.7496,     5948,   2786.5,2,   1.6425,2,  34.6536,2,  34.6541,2,    111.2,2,    111.3,2,   163.87,2,    38.68,2,     0.00,2,     2.98,4,    0.003,2,    0.002,2,   0.0000,2,   2355.0,2,   2420.9,2,   7.5081,2,    25.01,2,     -999,9,   1.6426,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7021,1,     28.2,2,20220618,2209,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,9          ,9          ,2,20220618,2049,  29.9995,-157.7496,     5948,   3040.9,2,   1.5723,2,  34.6631,2,  34.6637,2,    120.6,2,    120.8,2,   162.20,2,    38.13,2,     0.00,2,     2.95,4,    0.003,2,    0.003,2,   0.0000,2,   2349.2,2,     -999,1,   7.5250,2,    25.00,2,     -999,9,   1.5725,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7028,1,     27.5,2,20220618,2201,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,8          ,8          ,2,20220618,2049,  29.9995,-157.7496,     5948,   3348.4,2,   1.5216,2,  34.6712,2,  34.6720,2,    129.6,2,    130.0,2,   160.64,2,    37.60,2,     0.00,2,     2.90,4,    0.003,2,    0.000,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.5216,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7031,1,     26.0,2,20220618,2156,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,7          ,7          ,2,20220618,2049,  29.9995,-157.7496,     5948,   3655.3,2,   1.4953,2,  34.6773,2,  34.6767,2,    137.3,2,    137.7,2,   158.59,2,    37.15,2,     0.00,2,     2.86,4,    0.003,2,    0.003,2,   0.0000,2,   2336.2,2,   2420.6,6,   7.5550,2,    25.00,2,     -999,9,   1.4954,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0128,1,   4.7035,1,     24.9,2,20220618,2150,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,6          ,6          ,2,20220618,2049,  29.9995,-157.7496,     5948,   4065.7,2,   1.4865,2,  34.6824,2,  34.6818,2,    144.6,2,    144.7,2,   155.65,2,    36.66,2,     0.00,2,     2.79,4,    0.004,2,    0.003,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.4864,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7032,1,     24.4,2,20220618,2142,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,5          ,5          ,2,20220618,2049,  29.9995,-157.7496,     5948,   4477.4,2,   1.4972,2,  34.6858,2,  34.6861,2,    150.1,2,    150.2,2,   153.60,2,    36.36,2,     0.00,2,     2.77,4,    0.003,2,    0.003,2,   0.0000,2,   2327.0,2,     -999,1,   7.5761,2,    25.00,2,     -999,9,   1.4972,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7034,1,     23.7,2,20220618,2134,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,4          ,4          ,2,20220618,2049,  29.9995,-157.7496,     5948,   4887.6,2,   1.5216,2,  34.6883,2,  34.6883,2,    154.5,2,    154.7,2,   149.88,2,    36.04,2,     0.00,2,     2.75,4,    0.005,2,    0.004,2,   0.0000,2,   2321.9,2,   2419.0,2,   7.5834,2,    25.01,2,     -999,9,   1.5217,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7036,1,     23.2,2,20220618,2126,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,3          ,3          ,2,20220618,2049,  29.9995,-157.7496,     5948,   5379.2,2,   1.5686,2,  34.6897,2,  34.6905,2,    157.7,2,    157.9,2,   147.54,2,    35.86,2,     0.00,2,     2.73,4,    0.005,2,    0.006,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.5683,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7029,1,     23.3,2,20220618,2113,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,2          ,2          ,2,20220618,2049,  29.9995,-157.7496,     5948,   5714.4,2,   1.6101,2,  34.6900,2,  34.6897,2,    158.4,2,    158.5,2,   147.05,2,    35.82,2,     0.00,2,     2.73,4,    0.004,2,    0.003,2,   0.0000,2,   2319.1,6,     -999,1,   7.5872,2,    25.01,2,     -999,9,   1.6103,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7021,1,     23.8,2,20220618,2102,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,124     ,  1,1          ,1          ,2,20220618,2049,  29.9995,-157.7496,     5948,   6055.7,2,   1.6564,2,  34.6901,2,  34.6901,2,    158.6,2,    158.6,2,   146.75,2,    35.89,2,     0.00,2,     2.73,4,    0.010,2,    0.009,2,   0.0000,2,   2318.5,2,   2413.5,2,   7.5871,2,    25.01,2,     -999,9,   1.6568,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7019,1,     25.3,2,20220618,2049,  29.9995,-157.7496,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,16         ,16         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.2,2,  25.1086,2,  35.2619,2,     -999,9,    209.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0110,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,14         ,14         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.3,2,  25.1023,2,  35.2619,2,     -999,9,    209.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0111,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,11         ,11         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.3,2,  25.0976,2,  35.2624,2,     -999,9,    209.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0114,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
